Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
BC 22.pdf,56.03,38.01,17.258899676375403,481,"blockchain: 172, white: 22, paper: 25, national: 10, archives: 11, records: 78, administration: 3, february: 5, introduction: 4, overview: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 22.pdf_repetitive_words_full_list.txt,2.57,0.1
BC 23.pdf,4.87,41.4,22.123115577889447,724,"blockchain: 207, unchaining: 35, business: 86, copyright: 3, engineering: 39, rights: 2, work: 12, need: 15, apply: 5, world: 18...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 23.pdf_repetitive_words_full_list.txt,2.42,0.26
BC 24.pdf,5.65,42.61,25.487179487179485,745,"blockchain: 95, powering: 2, internet: 10, value: 40, page: 46, labs: 48, foreword: 2, executive: 2, summary: 3, understanding: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 24.pdf_repetitive_words_full_list.txt,2.45,0.28
BC 25.pdf,60.86,44.03,19.104545454545455,710,"blockchain: 137, technology: 91, beyond: 5, bitcoin: 60, essentially: 2, distributed: 13, database: 7, records: 3, public: 21, ledger: 17...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 25.pdf_repetitive_words_full_list.txt,2.52,0.28
BC 26.pdf,92.98,29.99,25.631944444444443,1075,"explore: 65, enable: 69, excel: 63, institute: 8, development: 7, research: 3, banking: 59, technology: 75, reserve: 8, bank: 51...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 26.pdf_repetitive_words_full_list.txt,2.17,0.23
BC 27.pdf,6.54,51.89,19.205,320,"introduction: 2, blockchain: 28, growth: 3, distributed: 14, ledger: 9, technology: 10, architecture: 2, development: 10, design: 2, benefits: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 27.pdf_repetitive_words_full_list.txt,2.47,0.14
BC 28.pdf,5.63,52.09,18.920731707317074,272,"whitepaper: 6, blockchain: 84, technology: 32, publishing: 36, industry: 19, executive: 2, summary: 2, introduction: 2, origins: 2, future: 7...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 28.pdf_repetitive_words_full_list.txt,2.64,0.09
BC 29.pdf,48.9,38.45,27.510276399716513,3219,"white: 179, paper: 217, blockchain: 1012, trade: 155, facilitation: 30, united: 64, nations: 34, economic: 27, commission: 15, europe: 14...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 29.pdf_repetitive_words_full_list.txt,1.22,0.28
BC 3.pdf,7.61,33.75,21.396551724137932,129,"potential: 3, blockchain: 34, signifi: 2, cant: 2, cryptocurrencies: 3, bitcoin: 7, ethereum: 6, october: 3, percent: 4, current: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 3.pdf_repetitive_words_full_list.txt,36.18,0.0
BC 30.pdf,96.32,30.6,28.310096153846153,952,"blockchain: 257, evolution: 38, swiss: 73, perspective: 38, white: 7, paper: 7, proposal: 3, title: 5, goes: 4, section: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 30.pdf_repetitive_words_full_list.txt,2.4,0.33
BC 31.pdf,77.27,37.44,25.0775,1526,"draft: 58, discussion: 60, paper: 81, blockchain: 354, india: 120, strategy: 75, left: 2, kumar: 2, made: 16, valuable: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 31.pdf_repetitive_words_full_list.txt,2.25,0.29
BC 32.pdf,36.78,34.66,20.104448742746616,888,"copyright: 2, july: 4, national: 8, society: 14, professional: 59, engineers: 41, limited: 3, revocable: 2, license: 4, nspe: 10...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 32.pdf_repetitive_words_full_list.txt,2.5,0.41
BC 33.pdf,76.34,40.69,25.75644699140401,760,"blockchain: 204, technology: 61, industry: 32, adoption: 28, march: 2, white: 2, paper: 3, introduction: 4, background: 4, main: 5...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 33.pdf_repetitive_words_full_list.txt,2.48,0.36
BC 34.pdf,15.76,37.13,29.296703296703296,625,"white: 23, paper: 33, technical: 14, applications: 16, blockchain: 102, deliverables: 2, version: 2, document: 10, presented: 2, plenary: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 34.pdf_repetitive_words_full_list.txt,2.35,0.35
BC 35.pdf,59.49,41.8,21.056338028169016,130,"white: 3, paper: 5, blockchain: 43, executive: 2, summary: 2, world: 6, technology: 19, solve: 3, business: 2, looking: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 35.pdf_repetitive_words_full_list.txt,2.55,0.35
BC 36.pdf,9.28,42.51,20.50473933649289,728,"contents: 2, summary: 4, project: 8, vision: 9, business: 68, blockchain: 99, edexa: 197, ecosystem: 32, overview: 5, universe: 63...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 36.pdf_repetitive_words_full_list.txt,2.5,0.18
BC 37.pdf,9.9,-32.41,68.26923076923077,180,"wipo: 25, public: 24, blockchain: 23, whitepaper: 6, project: 7, webinar: 4, june: 2, brief: 2, objectives: 5, scope: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 37.pdf_repetitive_words_full_list.txt,3.03,0.15
BC 38.pdf,5.29,33.75,23.78494623655914,1158,"huawei: 261, blockchain: 550, whitepaper: 66, copyright: 63, technologies: 136, foreword: 4, discussed: 4, field: 2, past: 2, years: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 38.pdf_repetitive_words_full_list.txt,1.92,0.25
BC 39.pdf,6.71,29.38,28.571428571428573,920,"white: 31, paper: 32, blockchain: 181, earth: 33, observation: 31, content: 2, executive: 3, summary: 3, purpose: 3, scope: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 39.pdf_repetitive_words_full_list.txt,2.48,0.35
BC 4.pdf,57.28,38.35,23.98870056497175,367,"white: 3, paper: 3, blockchain: 87, beyond: 9, hype: 13, practical: 4, framework: 6, business: 23, leaders: 3, april: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 4.pdf_repetitive_words_full_list.txt,2.58,0.38
BC 40.pdf,5.8,36.12,28.371900826446282,616,"establishing: 13, blockchain: 72, policy: 63, strategies: 17, governance: 39, distributed: 30, ledger: 26, technology: 61, ecosystems: 11, preamble: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 40.pdf_repetitive_words_full_list.txt,2.71,0.17
BC 41.pdf,6.47,36.69,22.61596958174905,530,"blockchain: 112, aviation: 36, white: 27, paper: 29, october: 23, international: 24, transport: 24, association: 23, iata: 56, rights: 23...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 41.pdf_repetitive_words_full_list.txt,2.61,0.25
BC 42.pdf,13.98,51.68,18.191891891891892,555,"applied: 19, innovation: 19, review: 18, issue: 20, june: 17, blockchain: 105, technology: 50, beyond: 3, bitcoin: 54, authors: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 42.pdf_repetitive_words_full_list.txt,2.45,0.28
BC 43.pdf,7.13,7.05,21.272340425531915,437,"public: 6, project: 7, distributed: 84, trust: 97, collaboration: 10, platform: 4, part: 32, ontology: 120, ecosystem: 26, applicable: 16...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 43.pdf_repetitive_words_full_list.txt,2.6,0.21
BC 44.pdf,5.47,43.02,23.791397849462367,940,"blockchain: 276, operator: 25, opportunities: 14, version: 4, page: 34, gsma: 11, represents: 10, mobile: 23, operators: 29, worldwide: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 44.pdf_repetitive_words_full_list.txt,2.53,0.3
BC 45.pdf,91.45,39.16,24.099630996309962,556,"developing: 5, role: 11, blockchain: 183, white: 11, paper: 16, version: 4, collaboration: 6, pricewaterhousecoopers: 2, papers: 2, working: 5...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 45.pdf_repetitive_words_full_list.txt,2.51,0.16
BC 46.pdf,53.32,36.08,21.236974789915966,960,"secure: 85, technology: 138, alliance: 55, page: 34, payments: 32, council: 11, white: 14, paper: 15, blockchain: 164, smart: 29...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 46.pdf_repetitive_words_full_list.txt,2.21,0.23
BC 47.pdf,10.73,31.41,23.45985401459854,281,"white: 2, paper: 4, carbon: 119, supply: 23, chain: 21, blockchain: 34, technology: 7, greenhouse: 3, emissions: 25, across: 21...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 47.pdf_repetitive_words_full_list.txt,2.58,0.44
BC 48.pdf,71.67,39.97,8.197278911564625,1776,"commissioned: 4, whitepaper: 99, distributed: 171, ledger: 262, technology: 161, foreword: 2, executive: 3, summary: 2, introduction: 9, basic: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 48.pdf_repetitive_words_full_list.txt,34.81,0.25
BC 49.pdf,92.98,29.99,25.631944444444443,1075,"explore: 65, enable: 69, excel: 63, institute: 8, development: 7, research: 3, banking: 59, technology: 75, reserve: 8, bank: 51...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 49.pdf_repetitive_words_full_list.txt,2.17,0.23
BC 5.pdf,46.57,48.6,17.83678756476684,973,"blockchain: 242, enterprise: 9, keyhole: 65, software: 65, white: 27, paper: 32, introduction: 3, architecture: 6, value: 20, table: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 5.pdf_repetitive_words_full_list.txt,1.89,0.14
BC 50.pdf,7.95,44.34,19.823293172690764,413,"perspective: 2, integrating: 5, blockchain: 114, transparent: 4, supply: 37, chain: 39, complex: 3, today: 15, different: 7, human: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 50.pdf_repetitive_words_full_list.txt,2.4,0.24
BC 51.pdf,5.59,40.79,22.63095238095238,173,"blockchain: 72, radically: 2, transform: 2, business: 9, technology: 24, industry: 5, next: 2, examples: 2, changed: 2, type: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 51.pdf_repetitive_words_full_list.txt,2.6,0.27
BC 52.pdf,5.13,42.72,19.204379562043794,244,"blockchain: 76, potential: 2, insurance: 37, claim: 17, lead: 2, general: 2, human: 4, form: 3, time: 8, today: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 52.pdf_repetitive_words_full_list.txt,2.73,0.13
BC 53.pdf,5.01,36.73,26.50955414012739,412,"white: 3, paper: 4, without: 7, permission: 2, publitek: 3, manufacturing: 30, companies: 17, benefit: 9, transformational: 11, power: 9...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 53.pdf_repetitive_words_full_list.txt,2.95,0.24
BC 54.pdf,99.78,50.16,19.51,578,"mtflabs: 4, blockchain: 67, version: 3, diverse: 3, group: 5, experts: 3, mtfberlin: 3, participate: 2, would: 17, experiment: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 54.pdf_repetitive_words_full_list.txt,2.83,0.4
BC 55.pdf,12.88,45.86,20.680555555555557,273,"blockchain: 95, white: 22, paper: 22, introduction: 2, security: 18, challenges: 3, benefits: 3, programming: 4, terminologies: 2, platforms: 10...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 55.pdf_repetitive_words_full_list.txt,2.73,0.12
BC 56.pdf,27.58,48.2,23.47945205479452,146,"blockchain: 33, ethereum: 17, paul: 15, weiss: 15, rifkind: 15, wharton: 15, garrison: 15, distributed: 10, ledger: 10, allows: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 56.pdf_repetitive_words_full_list.txt,2.35,0.15
